School,Counted Scores Regular Regattas,Championship Score
Bates College,"[(4.63, 'callagy-ross'), (3.89, 'protest'), (2.98, 'peak-foliage'), (2.93, 'invite')]","(0, None)"
Bentley University,"[(1.17, 'invite'), (0.94, 'chris-loder')]","(0, None)"
Boston College,"[(7.5, 'hatch-brown'), (7.5, 'sherman-hoyt'), (7.5, 'open-accs-round-1b'), (6.17, 'neisa-match-race')]","(0, None)"
Boston University,"[(4.3, 'hewitt'), (3.97, 'harmon-cup'), (3.76, 'salt-pond-invite'), (3.0, 'hatch-brown')]","(0, None)"
Bowdoin College,"[(7.0, 'open-atlantic-coast-championships-round-1a'), (6.76, 'atlantic-coast-open-finals'), (6.0, 'harry-anderson-jr'), (6.0, 'captain-hurst-bowl')]","(0, None)"
Brown University,"[(9.71, 'atlantic-coast-open-finals'), (8.5, 'sherman-hoyt'), (8.41, 'neisa-match-race'), (8.0, 'open-atlantic-coast-championships-round-1a')]","(0, None)"
U. S. Coast Guard Academy,"[(9.12, 'atlantic-coast-open-finals'), (8.33, 'montotype-neisa-singlehanded'), (8.0, 'harry-anderson-jr'), (7.85, 'neisa-match-race')]","(0, None)"
Connecticut College,"[(4.08, 'chris-loder'), (3.84, 'montotype-neisa-singlehanded'), (3.8, 'invite'), (3.68, 'moody')]","(0, None)"
Dartmouth College,"[(9.41, 'atlantic-coast-open-finals'), (8.13, 'danmark'), (7.5, 'open-atlantic-coast-championships-round-1a'), (6.5, 'harry-anderson-jr')]","(0, None)"
Emmanuel College,[],"(0, None)"
Fairfield University,"[(2.0, 'harry-anderson-jr'), (1.84, 'hood'), (1.46, 'invite'), (1.25, 'salt-pond-invite')]","(0, None)"
Harvard University,"[(10.0, 'atlantic-coast-open-finals'), (8.59, 'danmark'), (8.5, 'open-accs-round-1b'), (8.5, 'captain-hurst-bowl')]","(0, None)"
Johnson and Wales University,[],"(0, None)"
Maine Maritime Academy,"[(5.61, 'neisa-match-race'), (4.3, 'penobscot-bay-open'), (3.64, 'callagy-ross'), (2.98, 'harmon-cup')]","(0, None)"
Massachusetts Institute of Technology,"[(7.65, 'atlantic-coast-open-finals'), (7.0, 'captain-hurst-bowl'), (6.5, 'open-atlantic-coast-championships-round-1a'), (6.0, 'hatch-brown')]","(0, None)"
Massachusetts Maritime Academy,"[(4.49, 'neisa-match-race'), (4.3, 'harmon-cup'), (3.97, 'penobscot-bay-open'), (3.31, 'callagy-ross')]","(0, None)"
McGill University,"[(3.31, 'penobscot-bay-open'), (3.14, 'chris-loder'), (2.31, 'hewitt'), (1.94, 'mcgill-cup')]","(0, None)"
Middlebury College,"[(3.87, 'stuart-walker'), (3.22, 'invite'), (2.65, 'callagy-ross'), (1.94, 'protest')]","(0, None)"
Northeastern University,"[(4.96, 'penobscot-bay-open'), (4.96, 'hewitt'), (4.3, 'oberg'), (4.0, 'harry-anderson-jr')]","(0, None)"
Providence College,[],"(0, None)"
Roger Williams University,"[(8.82, 'atlantic-coast-open-finals'), (6.5, 'open-accs-round-1b'), (6.25, 'moody'), (6.0, 'sherman-hoyt')]","(0, None)"
Sacred Heart University,"[(0.0, 'mt-hope-bay-invite')]","(0, None)"
Salve Regina University,"[(3.97, 'sister-esther'), (3.93, 'charles-invitational'), (3.14, 'salt-pond-invite'), (2.94, 'moody')]","(0, None)"
Tufts University,"[(6.73, 'neisa-match-race'), (6.5, 'captain-hurst-bowl'), (6.18, 'atlantic-coast-open-finals'), (6.0, 'open-atlantic-coast-championships-round-1a')]","(0, None)"
University of Connecticut,"[(1.97, 'charles-invitational'), (1.57, 'salt-pond-invite')]","(0, None)"
University of Massachusetts at Amherst,"[(2.58, 'stuart-walker'), (2.31, 'callagy-ross'), (1.25, 'chris-loder'), (0.97, 'mcgill-cup')]","(0, None)"
University of Massachusetts at Dartmouth,"[(0.33, 'sister-esther')]","(0, None)"
University of New Hampshire,"[(3.97, 'peak-foliage'), (3.89, 'mcgill-cup'), (3.76, 'chris-loder'), (3.64, 'penobscot-bay-open')]","(0, None)"
University of Rhode Island,"[(7.0, 'harry-anderson-jr'), (6.78, 'danmark'), (6.47, 'atlantic-coast-open-finals'), (6.0, 'open-accs-round-1b')]","(0, None)"
University of Vermont,"[(4.63, 'penobscot-bay-open'), (4.3, 'callagy-ross'), (3.45, 'chris-loder'), (3.31, 'george-warren-smith')]","(0, None)"
Wellesley College,[],"(0, None)"
Wesleyan University,"[(0.0, 'invite')]","(0, None)"
Williams College,"[(1.29, 'stuart-walker'), (0.31, 'chris-loder'), (0.0, 'salt-pond-invite'), (0.0, 'george-warren-smith')]","(0, None)"
Worcester Polytechnical Institute,[],"(0, None)"
Yale University,"[(8.53, 'atlantic-coast-open-finals'), (8.5, 'harry-anderson-jr'), (8.5, 'hatch-brown'), (8.5, 'open-atlantic-coast-championships-round-1a')]","(0, None)"
Wentworth Institute of Technology,[],"(0, None)"
Olin College of Engineering,"[(2.62, 'charles-invitational'), (2.2, 'chris-loder'), (1.5, 'harry-anderson-jr'), (1.49, 'peak-foliage')]","(0, None)"
Amherst College,"[(3.64, 'harmon-cup'), (2.2, 'salt-pond-invite'), (0.88, 'invite'), (0.0, 'mcgill-cup')]","(0, None)"
