School,Score
Yale University,33.370000000000005
Brown University,33.26
Dartmouth College,32.12
Harvard University,30.990000000000002
U. S. Coast Guard Academy,30.86
Tufts University,26.17
Massachusetts Institute of Technology,26.02
Bowdoin College,25.419999999999998
Roger Williams University,24.39
Boston College,22.19
University of Rhode Island,18.990000000000002
Boston University,18.47
Connecticut College,16.96
Maine Maritime Academy,16.91
Northeastern University,16.439999999999998
University of Vermont,15.68
Massachusetts Maritime Academy,14.98
Salve Regina University,14.959999999999999
Bates College,13.110000000000001
McGill University,12.41
Fairfield University,11.299999999999999
University of New Hampshire,10.76
Olin College of Engineering,6.01
University of Massachusetts at Amherst,5.499999999999999
University of Connecticut,4.18
Amherst College,3.91
Middlebury College,3.59
Williams College,2.65
Sacred Heart University,2.35
Bentley University,1.92
Wesleyan University,1.1
University of Massachusetts at Dartmouth,0.88
Emmanuel College,0
Johnson and Wales University,0
Providence College,0
Wellesley College,0
Worcester Polytechnical Institute,0
Wentworth Institute of Technology,0.0
