School,Counted Scores Regular Regattas,Championship Score
Bates College,[],"(0, None)"
Bentley University,[],"(0, None)"
Boston College,"[(8.82, 'women-atlantic-coast-dinghy-finals'), (7.93, 'regis'), (7.18, 'toni-deutsch-58'), (6.87, 'women-acc-series-round-1a')]","(7.04, 'victorian-urn')"
Boston University,"[(5.29, 'regis'), (2.5, 'women-acc-round-1b'), (2.06, 'women-atlantic-coast-dinghy-tournament'), (1.2, 'toni-deutsch-58')]","(0.0, 'victorian-urn')"
Bowdoin College,"[(6.0, 'women-acc-round-1b'), (5.77, 'neisa-women-singlehanded'), (5.29, 'women-atlantic-coast-dinghy-finals'), (4.19, 'toni-deutsch-58')]","(6.33, 'victorian-urn')"
Brown University,"[(8.24, 'women-atlantic-coast-dinghy-finals'), (8.0, 'women-acc-round-1b'), (6.92, 'neisa-women-singlehanded'), (6.91, 'stu-nelson')]","(7.74, 'victorian-urn')"
U. S. Coast Guard Academy,"[(7.65, 'women-atlantic-coast-dinghy-finals'), (7.6, 'mrs-hurst-bowl'), (5.98, 'toni-deutsch-58'), (5.81, 'women-acc-series-round-1a')]","(5.63, 'victorian-urn')"
Connecticut College,"[(3.29, 'women-atlantic-coast-dinghy-tournament'), (1.5, 'women-acc-round-1b'), (1.06, 'regis'), (0.0, 'mrs-hurst-bowl')]","(0, None)"
Dartmouth College,"[(9.41, 'women-atlantic-coast-dinghy-finals'), (7.5, 'women-acc-round-1b'), (6.34, 'regis'), (6.22, 'mrs-hurst-bowl')]","(9.85, 'victorian-urn')"
Emmanuel College,[],"(0, None)"
Fairfield University,[],"(0, None)"
Harvard University,"[(8.46, 'women-acc-series-round-1a'), (8.41, 'yale-women-interconference'), (8.37, 'toni-deutsch-58'), (8.07, 'neisa-women-singlehanded')]","(8.44, 'victorian-urn')"
Johnson and Wales University,[],"(0, None)"
Maine Maritime Academy,[],"(0, None)"
Massachusetts Institute of Technology,"[(7.93, 'women-acc-series-round-1a'), (6.73, 'yale-women-interconference'), (5.53, 'stu-nelson'), (4.83, 'mrs-hurst-bowl')]","(4.92, 'victorian-urn')"
Massachusetts Maritime Academy,[],"(0, None)"
McGill University,"[(3.46, 'neisa-women-singlehanded'), (0.0, 'toni-deutsch-58')]","(0, None)"
Middlebury College,"[(0.0, 'regis')]","(0, None)"
Northeastern University,"[(4.12, 'women-atlantic-coast-dinghy-tournament'), (3.5, 'women-acc-round-1b'), (2.8, 'yale-women-interconference'), (1.38, 'mrs-hurst-bowl')]","(3.52, 'victorian-urn')"
Providence College,[],"(0, None)"
Roger Williams University,"[(5.81, 'regis'), (5.76, 'women-atlantic-coast-dinghy-tournament'), (3.7, 'women-acc-series-round-1a'), (3.59, 'toni-deutsch-58')]","(2.11, 'victorian-urn')"
Sacred Heart University,[],"(0, None)"
Salve Regina University,"[(4.76, 'regis')]","(0.7, 'victorian-urn')"
Tufts University,"[(4.5, 'women-acc-round-1b'), (2.76, 'mrs-hurst-bowl'), (2.64, 'regis'), (1.79, 'toni-deutsch-58')]","(2.81, 'victorian-urn')"
University of Connecticut,[],"(0, None)"
University of Massachusetts at Amherst,[],"(0, None)"
University of Massachusetts at Dartmouth,[],"(0, None)"
University of New Hampshire,[],"(0, None)"
University of Rhode Island,"[(4.49, 'yale-women-interconference'), (4.23, 'women-acc-series-round-1a'), (3.7, 'regis'), (3.45, 'mrs-hurst-bowl')]","(4.22, 'victorian-urn')"
University of Vermont,"[(4.94, 'women-atlantic-coast-dinghy-tournament'), (4.23, 'regis'), (2.99, 'toni-deutsch-58'), (2.24, 'yale-women-interconference')]","(1.41, 'victorian-urn')"
Wellesley College,[],"(0, None)"
Wesleyan University,[],"(0, None)"
Williams College,[],"(0, None)"
Worcester Polytechnical Institute,[],"(0, None)"
Yale University,"[(10.0, 'women-atlantic-coast-dinghy-finals'), (8.5, 'women-acc-round-1b'), (8.46, 'regis'), (8.29, 'mrs-hurst-bowl')]","(9.15, 'victorian-urn')"
Wentworth Institute of Technology,[],"(0, None)"
Olin College of Engineering,[],"(0, None)"
Amherst College,[],"(0, None)"
