School,Score
Dartmouth College,29.84
Massachusetts Institute of Technology,28.950000000000003
Brown University,27.299999999999997
Harvard University,26.68
Yale University,24.68
Bowdoin College,22.480000000000004
University of Rhode Island,18.47
U. S. Coast Guard Academy,17.939999999999998
Boston College,15.7
Northeastern University,15.32
Tufts University,13.790000000000001
Roger Williams University,12.23
Boston University,5.710000000000001
University of Vermont,5.039999999999999
McGill University,3.43
Bates College,0.6
Bentley University,0
Connecticut College,0.0
Emmanuel College,0
Fairfield University,0
Johnson and Wales University,0
Maine Maritime Academy,0.0
Massachusetts Maritime Academy,0
Middlebury College,0
Providence College,0
Sacred Heart University,0
Salve Regina University,0
University of Connecticut,0
University of Massachusetts at Amherst,0
University of Massachusetts at Dartmouth,0
University of New Hampshire,0
Wellesley College,0
Wesleyan University,0
Williams College,0
Worcester Polytechnical Institute,0
Wentworth Institute of Technology,0
Olin College of Engineering,0
Amherst College,0
